,Name,CID,Melting Point
22218,"2,6-DICHLOROTOLUENE",[8368],2.8 °C
22219,"1,1-DIFLUOROETHANE",[6368],-117 °C
22220,TRIETHYLPHOSPHATE,[6535],-57 °C
22221,POTASSIUM METHYLATE,[23664618],No melting point; decomposes at >50 °C
22222,DIMETHYL FUMARATE,[637568],104 °C
22223,"2-BUTYNE-1,4-DIOL",[8066],58 °C
22224,CALCIUM SULFATE DIHYDRATE,[24928],100-150 °C
22225,DECENE (ISOMER MIXTURE),[5364559],-66 °C
22226,CALCIUM GLUCONATE,"[9290, 10982878, 71308416]",178 °C
22227,SODIUM GLUCONATE,[23672301],170-175 °C
22228,GLUCONIC ACID,[10690],131 °C
22229,VANILIN,[1183],81-83 °C
22230,epsilon-CAPROLACTONE,[10401],-1.5 °C
22231,SODIUM PERCARBONATE,[159762],No melting point; decomposes at >50 °C
22232,"1,3-DIMETHYLUREA",[7293],102-107 °C
22233,2-METHYLBUT-3-YN-2-OL,[8258],2.6 °C
22234,3-METHYLBUTANAL,[11552],-51 °C
22235,TETRAETHYLENE GLYCOL METHYL ETHER,[90263],-39 °C
22236,TETRAETHYLENE GLYCOL BUTYL ETHER,[73791],-33 °C
22237,TRIPROPYLENE GLYCOL METHYL ETHER,[25054],-77.8 °C
22238,DIPROPYLENE GLYCOL METHYL ETHER ACETATE,[21896169],-25.5 °C
22239,Ethiofencarb,[34766],33.4 °C
22240,MECARBAM,[17434],9 °C
22241,CHLOROPHACINONE,[19402],143 °C
22242,DIPHACINONE,[6719],147 °C
22243,HYDROXY-2-NAPHTHOIC ACID,[7104],220 °C
22244,3-METHYLBUT-2-EN-1-OL,[11173],-59.3 °C
22245,"1,3-DICHLORO-2-BUTENE","[13556, 637892, 643911]",-75 °C
22246,p-TOLUENESULFONYL CHLORIDE,[7397],69-71 °C
22247,1-CHLORO-2-(CHLOROMETHYL)BENZENE,[11906],-17 °C
22248,Cyfluthrin,[104926],60 °C
22249,1-Dodecanol,[8193],24 °C
22250,METHIOCARB,[16248],119 °C
22251,Terbufos,[25670],-29.2 °C
22252,POTASSIUM CHROMATE,[24597],968 °C
22253,5-ETHYL-2-METHYLPYRIDINE,[7728],-70 °C
22254,"2,2-DIMETHYLPROPANE",[10041],-16.6 °C
22255,POTASSIUM ZINC CHROMATE HYDROXIDE,[25466],No melting point; decomposes at 500 °C
22256,Acetaldehyde,[177],-190°F
22257,Acetic acid,[176],62°F
22258,Acetic anhydride,[7918],-99°F
22259,Acetone,[180],-140°F
22260,Acetone cyanohydrin,[6406],-4°F
22261,Acetonitrile,[6342],-49°F
22262,2-Acetylaminofluorene,[5897],381°F
22263,Acetylene,[6326],-119°F (Sublimes)
22264,Acetylene tetrabromide,[6588],32°F
22265,Acetylsalicylic acid,[2244],275°F
22266,Acrolein,[7847],-126°F
22267,Acrylamide,[6579],184°F
22268,Acrylic acid,[6581],55°F
22269,Acrylonitrile,[7855],-116°F
22270,Adiponitrile,[8128],34°F
22271,Aldrin,"[2087, 61103, 222548, 12310947, 24860538, 92535137, 101611446, 118701038]",219°F
22272,Allyl alcohol,[7858],-200°F
22273,Allyl chloride,[7850],-210°F
22274,Allyl glycidyl ether,[7838],-148°F [forms glass]
22275,Allyl propyl disulfide,[16591],5°F
22276,alpha-Alumina,[9989226],3632°F
22277,Aluminum,[5359268],1220°F
22278,4-Aminodiphenyl,[7102],127°F
22279,2-Aminopyridine,[10439],137°F
22280,Amitrole,[1639],318°F
22281,Ammonia,[222],-108°F
22282,Ammonium chloride fume,[25517],662°F (Sublimes)
22283,Ammonium sulfamate,[24482],268°F
22284,n-Amyl acetate,[12348],-95°F
22285,sec-Amyl acetate,[12278],-109°F
22286,Aniline (and homologs),[6115],21°F
22287,o-Anisidine,[7000],41°F
22288,p-Anisidine,[7732],135°F
22289,Antimony,[5354495],1166°F
22290,ANTU,[736366],388°F
22291,"Arsenic (inorganic compounds, as As)",[5359596],1135°F (Sublimes)
22292,Arsine,[23969],-179°F
22293,Atrazine,[2256],340°F
22294,Barium chloride (as Ba),[25204],1765°F
22295,Barium nitrate (as Ba),[24798],1094°F
22296,Barium sulfate,[24414],2876°F
22297,Benomyl,[28780],>572°F (Decomposes)
22298,Benzene,[241],42°F
22299,Benzenethiol,[7969],5°F
22300,Benzidine,[7111],239°F
22301,Benzoyl peroxide,[7187],217°F
22302,Benzyl chloride,[7503],-38°F
22303,Beryllium & beryllium compounds (as Be),[5460467],2349°F
22304,"Borates, tetra, sodium salts (Anhydrous)",[10219853],1366°F
22305,"Borates, tetra, sodium salts (Decahydrate)",[16211214],167°F
22306,Boron oxide,[518682],842°F
22307,Boron tribromide,[25134],-51°F
22308,Boron trifluoride,[6356],-196°F
22309,Bromacil,[9411],317°F (Sublimes)
22310,Bromine,[24408],19°F
22311,Bromine pentafluoride,[24606],-77°F
22312,Bromoform,[5558],47°F
22313,"1,3-Butadiene",[7845],-164°F
22314,n-Butane,[7843],-217°F
22315,2-Butanone,[6569],-123°F
22316,2-Butoxyethanol,[8133],-107°F
22317,2-Butoxyethanol acetate,[8160],-82°F
22318,n-Butyl acetate,[31272],-107°F
22319,sec-Butyl acetate,[7758],-100°F
22320,Butyl acrylate,[8846],-83°F
22321,n-Butyl alcohol,[263],-129°F
22322,sec-Butyl alcohol,[6568],-175°F
22323,tert-Butyl alcohol,[6386],78°F
22324,n-Butylamine,[8007],-58°F
22325,n-Butyl lactate,[8738],-45°F
22326,n-Butyl mercaptan,[8012],-176°F
22327,o-sec-Butylphenol,[6984],61°F
22328,p-tert-Butyltoluene,[7390],-62°F
22329,n-Butyronitrile,[8008],-170°F
22330,Cadmium dust (as Cd),[23973],610°F
22331,Cadmium fume (as Cd),[14782],2599°F
22332,Calcium carbonate,[10112],1517-2442°F (Decomposes)
22333,Calcium hydroxide,[6093208],1076°F (Decomposes) (Loses H2O)
22334,Calcium oxide,[14778],4662°F
22335,Calcium silicate,[14941],2804°F
22336,Calcium sulfate,[24497],2840°F (Decomposes)
22337,Camphor (synthetic),[2537],345°F
22338,Caprolactam,[7768],156°F
22339,Captafol,[17038],321°F (Decomposes)
22340,Captan,[8606],352°F (Decomposes)
22341,Carbaryl,[6129],293°F
22342,Carbofuran,[2566],304°F
22343,Carbon black,[5462310],Sublimes
22344,Carbon dioxide,[280],-109°F (Sublimes)
22345,Carbon disulfide,[6348],-169°F
22346,Carbon monoxide,[281],-337°F
22347,Carbon tetrabromide,[11205],194°F
22348,Carbon tetrachloride,[5943],-9°F
22349,Carbonyl fluoride,[9623],-173°F
22350,Catechol,[289],221°F
22351,Cellulose,"[294, 16211032, 24802025]",500-518°F (Decomposes)
22352,Cesium hydroxide,[62750],522°F
22353,Chlordane,"[5993, 11954021, 12303031, 24860539, 134687881]",217-228°F
22354,Chlorinated camphene,[5284469],149-194°F
22355,Chlorine,[24526],-150°F
22356,Chlorine dioxide,[24870],-74°F
22357,Chlorine trifluoride,[24637],-105°F
22358,Chloroacetaldehyde,[33],-3°F (40% solution)
22359,alpha-Chloroacetophenone,[10757],134°F
22360,Chloroacetyl chloride,[6577],-7°F
22361,Chlorobenzene,[7964],-50°F
22362,o-Chlorobenzylidene malononitrile,[17604],203-205°F
22363,Chlorobromomethane,[6333],-124°F
22364,Chlorodifluoromethane,[6372],-231°F
22365,Chlorodiphenyl (42% chlorine),[17097],-2°F
22366,Chlorodiphenyl (54% chlorine),[40470],50°F
22367,Chloroform,[6212],-82°F
22368,Chloromethyl methyl ether,[7864],-154°F
22369,Chloropentafluoroethane,[6430],-223°F
22370,Chloropicrin,[6423],-93°F
22371,beta-Chloroprene,[31369],-153°F
22372,o-Chlorostyrene,[14906],-82°F
22373,o-Chlorotoluene,[7238],-31°F
22374,2-Chloro-6-trichloromethyl pyridine,[16004],145°F
22375,Chlorpyrifos,[2730],108°F
22376,Chromic acid and chromates,[14915],387°F (Decomposes)
22377,Chromium metal,[23976],3452°F
22378,Chromyl chloride,[22150757],-142°F
22379,Clopidol,[18087],>608°F
22380,Cobalt metal dust and fume (as Co),[104730],2719°F
22381,Cobalt hydrocarbonyl (as Co),[61848],-15°F
22382,"Copper (dusts and mists, as Cu)",[23978],1981°F
22383,Copper fume (as Cu),[23978],1879°F (Decomposes)
22384,Crag herbicide,[23690431],473°F (Decomposes)
22385,o-Cresol,[335],88°F
22386,m-Cresol,[342],54°F
22387,p-Cresol,[2879],95°F
22388,Crotonaldehyde,[447466],-101°F
22389,Crufomate,[9300],140°F
22390,Cumene,[7406],-141°F
22391,Cyanamide,[9864],113°F
22392,Cyanogen,[9999],-18°F
22393,Cyanogen chloride,[10477],20°F
22394,Cyclohexane,[8078],44°F
22395,Cyclohexanethiol,[15290],-181°F
22396,Cyclohexanol,[7966],77°F
22397,Cyclohexanone,[7967],-49°F
22398,Cyclohexene,[8079],-154°F
22399,Cyclohexylamine,[7965],0°F
22400,Cyclonite,[8490],401°F
22401,Cyclopentadiene,[7612],-121°F
22402,Cyclopentane,[9253],-137°F
22403,Cyhexatin,[6327054],383°F
22404,"2,4-D",[1486],280°F
22405,DDT,[3036],227°F
22406,1-Decanethiol,[8917],-15°F
22407,Demeton,[24722],<-13°F
22408,Diacetone alcohol,[31256],-47°F
22409,"2,4-Diaminoanisole (and its salts)",[11976],153°F
22410,o-Dianisidine,[8411],279°F
22411,Diazomethane,[9550],-229°F
22412,Diborane,[6328200],-265°F
22413,"1,2-Dibromo-3-chloropropane",[7280],43°F
22414,Dibutyl phthalate,[3026],-31°F
22415,Dichloroacetylene,[24227],-58 to -87°F
22416,o-Dichlorobenzene,[7239],1°F
22417,p-Dichlorobenzene,[4685],128°F
22418,"3,3'-Dichlorobenzidine (and its salts)",[7070],271°F
22419,Dichlorodifluoromethane,[6391],-252°F
22420,"1,3-Dichloro-5,5-dimethylhydantoin",[8360],270°F
22421,"1,1-Dichloroethane",[6365],-143°F
22422,"1,2-Dichloroethylene","[10900, 638186, 643833]",-57 to -115°F
22423,Dichloroethyl ether,[8115],-58°F
22424,Dichloromonofluoromethane,[6370],-211°F
22425,"1,3-Dichloropropene",[24726],-119°F
22426,"2,2-Dichloropropionic acid",[6418],46°F
22427,Dichlorotetrafluoroethane,[6429],-137°F
22428,Dicyclopentadiene,[6492],90°F
22429,Dicyclopentadienyl iron,"[7611, 504306, 21938862, 23616435, 25199998]",343°F
22430,Dieldrin,"[3048, 60963, 222547, 969491, 6478437, 12358489, 101820673, 134687882]",349°F
22431,Diethanolamine,[8113],82°F
22432,Diethylamine,[8021],-58°F
22433,2-Diethylaminoethanol,[7497],-94°F
22434,Diethylenetriamine,[8111],-38°F
22435,Diethyl ketone,[7288],-44°F
22436,Diethyl phthalate,[6781],-41°F
22437,Difluorodibromomethane,[6382],-231°F
22438,Diisobutyl ketone,[7958],-43°F
22439,Diisopropylamine,[7912],-141°F
22440,Dimethyl acetamide,[31374],-4°F
22441,Dimethylamine,[674],-134°F
22442,4-Dimethylaminoazobenzene,[6053],237°F
22443,Dimethylaminopropionitrile,[15615],-48°F
22444,"N,N-Dimethylaniline",[949],36°F
22445,Dimethyl carbamoyl chloride,[6598],-27°F
22446,"Dimethyl-1,2-dibromo-2,2-dichlorethyl phosphate",[4420],80°F
22447,Dimethylformamide,[6228],-78°F
22448,"1,1-Dimethylhydrazine",[5976],-72°F
22449,Dimethylphthalate,[8554],42°F
22450,Dimethyl sulfate,[6497],-25°F
22451,Dinitolmide,[3092],351°F
22452,o-Dinitrobenzene,[10707],244°F
22453,m-Dinitrobenzene,[7452],192°F
22454,p-Dinitrobenzene,[7492],343°F
22455,Dinitro-o-cresol,[10800],190°F
22456,Dinitrotoluene,[11761],158°F
22457,Di-sec octyl phthalate,[8343],-58°F
22458,Dioxane,[31275],53°F
22459,Dioxathion,[6531],-4°F
22460,Diphenyl,[7095],156°F
22461,Diphenylamine,[11487],127°F
22462,Dipropylene glycol methyl ether,[25485],-112°F
22463,Dipropyl ketone,[31246],-27°F
22464,Diquat (Diquat dibromide),[6794],635°F
22465,Disulfiram,[3117],158°F
22466,Disulfoton,[3118],>-13°F
22467,"2,6-Di-tert-butyl-p-cresol",[31404],158°F
22468,Diuron,[3120],316°F
22469,Divinyl benzene,[66666],-88°F
22470,1-Dodecanethiol,[8195],15°F
22471,Endosulfan,[3224],223°F
22472,Endrin,"[3048, 12358480, 12358497, 46174049, 71312306, 101260859, 134687884]",392°F (Decomposes)
22473,Epichlorohydrin,[7835],-54°F
22474,EPN,[16421],97°F
22475,Ethanolamine,[700],51°F
22476,Ethion,[3286],10°F
22477,2-Ethoxyethanol,[8076],-130°F
22478,2-Ethoxyethyl acetate,[8095],-79°F
22479,Ethyl acetate,[8857],-117°F
22480,Ethyl acrylate,[8821],-96°F
22481,Ethyl alcohol,[702],-173°F
22482,Ethylamine,[6341],-114°F
22483,Ethyl benzene,[7500],-139°F
22484,Ethyl bromide,[6332],-182°F
22485,Ethyl butyl ketone,[7802],-38°F
22486,Ethyl chloride,[6337],-218°F
22487,Ethylene chlorohydrin,[34],-90°F
22488,Ethylenediamine,[3301],47°F
22489,Ethylene dibromide,[7839],50°F
22490,Ethylene dichloride,[11],-32°F
22491,Ethylene glycol,[174],9°F
22492,Ethylene glycol dinitrate,[40818],-8°F
22493,Ethyleneimine,[9033],-97°F
22494,Ethylene oxide,[6354],-171°F
22495,Ethylene thiourea,[2723650],392°F
22496,Ethyl ether,[3283],-177°F
22497,Ethyl formate,[8025],-113°F
22498,Ethylidene norbornene,"[27756, 5365543, 5463081, 12456033, 129659218]",-112°F
22499,Ethyl mercaptan,[6343],-228°F
22500,N-Ethylmorpholine,[7525],-81°F
22501,Ethyl silicate,[6517],-117°F
22502,Fenamiphos,[31070],121°F
22503,Fenthion,[3346],43°F
22504,Ferbam,"[26710, 12891182, 86289068]",>356°F (Decomposes)
22505,Ferrovanadium dust,[14928220],2696-2768°F
22506,Fluorine,[24524],-363°F
22507,Fluorotrichloromethane,[6389],-168°F
22508,Formaldehyde,[712],-134°F
22509,Formamide,[713],37°F
22510,Formic acid,[284],20°F (90% solution)
22511,Furfural,[7362],-34°F
22512,Furfuryl alcohol,[7361],6°F
22513,Germanium tetrahydride,[23984],-267°F
22514,Glutaraldehyde,[3485],7°F
22515,Glycerin (mist),[753],64°F
22516,Glycidol,[11164],-49°F
22517,Glycolonitrile,[7857],<-98°F
22518,Graphite (natural),[5462310],6602°F (Sublimes)
22519,Graphite (synthetic),[5462310],6602°F (Sublimes)
22520,Gypsum,[24928],262-325°F (Loses H2O)
22521,Hafnium,[23986],4041°F
22522,Halothane,[3562],-180°F
22523,Heptachlor,[3589],203°F
22524,n-Heptane,[8900],-131°F
22525,1-Heptanethiol,[15422],-46°F
22526,Hexachlorobutadiene,[6901],-6°F
22527,Hexachlorocyclopentadiene,[6478],16°F
22528,Hexachloroethane,[6214],368°F (Sublimes)
22529,Hexachloronaphthalene,[108177],279°F
22530,1-Hexadecanethiol,[18015],64-68°F
22531,Hexafluoroacetone,[12695],-188°F
22532,Hexamethylene diisocyanate,[13192],-89°F
22533,Hexamethyl phosphoramide,[12679],43°F
22534,n-Hexane,[8058],-219°F
22535,n-Hexanethiol,[8106],-113°F
22536,2-Hexanone,[11583],-71°F
22537,Hexone,[7909],-120°F
22538,sec-Hexyl acetate,[7959],-83°F
22539,Hexylene glycol,[7870],-58°F (Sets to glass)
22540,Hydrazine,[9321],36°F
22541,Hydrogen bromide,[260],-124°F
22542,Hydrogen chloride,[313],-174°F
22543,Hydrogen cyanide,[768],7°F (96%)
22544,Hydrogen fluoride,[14917],-118°F
22545,Hydrogen peroxide,[784],12°F
22546,Hydrogen selenide,[533],-87°F
22547,Hydrogen sulfide,[402],-122°F
22548,Hydroquinone,[785],338°F
22549,Indene,[7219],29°F
22550,Indium,[5359967],314°F
22551,Iodine,[807],236°F
22552,Iodoform,[6374],246°F
22553,Iron oxide dust and fume (as Fe),[518696],2664°F
22554,Iron pentacarbonyl (as Fe),[15184394],-6°F
22555,Isoamyl acetate,[31276],-109°F
22556,Isoamyl alcohol (primary),[31260],-179°F
22557,Isobutane,[6360],-255°F
22558,Isobutyl acetate,[8038],-145°F
22559,Isobutyl alcohol,[6560],-162°F
22560,Isobutyronitrile,[6559],-97°F
22561,Isooctyl alcohol,[15450],<-105°F
22562,Isophorone,[6544],17°F
22563,Isophorone diisocyanate,[169132],-76°F
22564,Isopropyl acetate,[7915],-92°F
22565,Isopropyl alcohol,[3776],-127°F
22566,Isopropylamine,[6363],-150°F
22567,N-Isopropylaniline,[13032],-58°F
22568,Isopropyl ether,[7914],-76°F
22569,Kepone,[299],662°F (Sublimes)
22570,Ketene,[10038],-238°F
22571,Lead,[5352425],621°F
22572,Limestone,[10112],1517-2442°F (Decomposes)
22573,Lindane,[727],235°F
22574,Lithium hydride,[62714],1256°F
22575,Magnesite,[11029],662°F (Decomposes)
22576,Magnesium oxide fume,[14792],5072°F
22577,Malathion,[4004],37°F
22578,Maleic anhydride,[7923],127°F
22579,Malonaldehyde,[10964],161°F
22580,Malononitrile,[8010],90°F
22581,Manganese compounds and fume (as Mn),[23930],2271°F
22582,Manganese tetroxide (as Mn),[90479253],2847°F
22583,Marble,[10112],1517-2442°F (Decomposes)
22584,Mercury compounds [except (organo) alkyls] (as Hg),[23931],-38°F
22585,Mesityl oxide,[8858],-52°F
22586,Methacrylic acid,[4093],61°F
22587,Methomyl,"[4109, 5353758, 5360521]",172°F
22588,Methoxychlor,[4115],171°F
22589,Methoxyflurane,[4116],-31°F
22590,4-Methoxyphenol,[9015],135°F
22591,Methyl acetate,[6584],-145°F
22592,Methyl acetylene,[6335],-153°F
22593,Methyl acetylene-propadiene mixture,[62152],-213°F
22594,Methyl acrylate,[7294],-106°F
22595,Methylacrylonitrile,[31368],-32°F
22596,Methylal,[8020],-157°F
22597,Methyl alcohol,[887],-144°F
22598,Methylamine,[6329],-136°F
22599,Methyl (n-amyl) ketone,[8051],-32°F
22600,Methyl bromide,[6323],-137°F
22601,Methyl Cellosolve,[8019],-121°F
22602,Methyl Cellosolve acetate,[8054],-85°F
22603,Methyl chloride,[6327],-144°F
22604,Methyl chloroform,[6278],-23°F
22605,Methylcyclohexane,[7962],-196°F
22606,o-Methylcyclohexanone,[11419],7°F
22607,"4,4'-Methylenebis(2-chloroaniline)",[7543],230°F
22608,Methylene bis(4-cyclohexylisocyanate),[21202],<14°F
22609,Methylene bisphenyl isocyanate,[7570],99°F
22610,Methylene chloride,[6344],-139°F
22611,"4,4'-Methylenedianiline",[7577],198°F
22612,Methyl formate,[7865],-148°F
22613,5-Methyl-3-heptanone,[7822],-70°F
22614,Methyl hydrazine,[6061],-62°F
22615,Methyl iodide,[6328],-88°F
22616,Methyl isoamyl ketone,[8034],-101°F
22617,Methyl isobutyl carbinol,[7910],-130°F
22618,Methyl isocyanate,[12228],-49°F
22619,Methyl isopropyl ketone,[11251],-134°F
22620,Methyl mercaptan,[878],-186°F
22621,Methyl methacrylate,[6658],-54°F
22622,Methyl parathion,[4130],99°F
22623,Methyl silicate,[12682],28°F
22624,alpha-Methyl styrene,[7407],-10°F
22625,Metribuzin,[30479],257°F
22626,Molybdenum,[23932],4752°F
22627,Monocrotophos,[5371562],129°F
22628,Monomethyl aniline,[7515],-71°F
22629,Morpholine,[8083],23°F
22630,Naphthalene,[931],176°F
22631,alpha-Naphthylamine,[8640],122°F
22632,beta-Naphthylamine,[7057],232°F
22633,Nickel metal and other compounds (as Ni),[935],2831°F
22634,Nicotine,[89594],-110°F
22635,Nitric acid,[944],-44°F
22636,Nitric oxide,[145068],-263°F
22637,p-Nitroaniline,[7475],295°F
22638,Nitrobenzene,[7416],42°F
22639,4-Nitrobiphenyl,[7114],237°F
22640,p-Nitrochlorobenzene,[7474],182°F
22641,Nitroethane,[6587],-130°F
22642,Nitrogen dioxide,[3032552],15°F
22643,Nitrogen trifluoride,[24553],-340°F
22644,Nitroglycerine,[4510],56°F
22645,Nitromethane,[6375],-20°F
22646,2-Nitronaphthalene,[11392],174°F
22647,1-Nitropropane,[7903],-162°F
22648,2-Nitropropane,[398],-135°F
22649,o-Nitrotoluene,[6944],25°F
22650,m-Nitrotoluene,[7422],59°F
22651,p-Nitrotoluene,[7473],126°F
22652,Nitrous oxide,[948],-132°F
22653,Nonane,[8141],-60°F
22654,Octachloronaphthalene,[16692],365°F
22655,1-Octadecanethiol,[17905],77°F
22656,Octane,[356],-70°F
22657,1-Octanethiol,[8144],-57°F
22658,Oil mist (mineral),[68245],0°F
22659,Osmium tetroxide,[30318],105°F
22660,Oxalic acid,[971],215°F (Sublimes)
22661,Oxygen difluoride,[24547],-371°F
22662,Ozone,[24823],-315°F
22663,Paraquat (Paraquat dichloride),[15938],572°F (Decomposes)
22664,Parathion,[991],43°F
22665,Pentaborane,[15764013],-52°F
22666,Pentachloroethane,[6419],-20°F
22667,Pentachloronaphthalene,[114760],248°F
22668,Pentachlorophenol,[992],374°F
22669,Pentaerythritol,[8285],500°F (Sublimes)
22670,n-Pentane,[8003],-202°F
22671,1-Pentanethiol,[8067],-104°F
22672,2-Pentanone,[7895],-108°F
22673,Perchloryl fluoride,[24258],-234°F
22674,Perlite,[133082075],>2000°F
22675,Phenol,[996],109°F
22676,Phenothiazine,[7108],365°F
22677,p-Phenylene diamine,[7814],295°F
22678,Phenyl ether (vapor),[7583],82°F
22679,Phenyl glycidyl ether,[31217],38°F
22680,Phenylhydrazine,[7516],67°F
22681,N-Phenyl-β-naphthylamine,[8679],226°F
22682,Phorate,[4790],-45°F
22683,Phosdrin,[5355863],44°F (trans-) 70°F (cis-)
22684,Phosgene,[6371],-198°F
22685,Phosphine,[24404],-209°F
22686,Phosphoric acid,[1004],108°F
22687,Phosphorus oxychloride,[24813],34°F
22688,Phosphorus pentachloride,[24819],324°F (Sublimes)
22689,Phosphorus pentasulfide,[14817],550°F
22690,Phosphorus trichloride,[24387],-170°F
22691,Phthalic anhydride,[6811],267°F
22692,m-Phthalodinitrile,[12276],324°F (Sublimes)
22693,Picloram,[15965],424°F (Decomposes)
22694,Picric acid,[6954],252°F
22695,Pindone,[6732],230°F
22696,Piperazine dihydrochloride,[8893],635°F
22697,Plaster of Paris,[3033839],325°F (Loses H2O)
22698,Platinum,[23939],3222°F
22699,Potassium cyanide (as CN),[9032],1173°F
22700,Potassium hydroxide,[14797],716°F
22701,Propane,[6334],-306°F
22702,Propane sultone,[14264],86°F
22703,1-Propanethiol,[7848],-172°F
22704,Propargyl alcohol,[7859],-62°F
22705,beta-Propiolactone,[2365],-28°F
22706,Propionic acid,[1032],5°F
22707,Propionitrile,[7854],-133°F
22708,Propoxur,[4944],187-197°F
22709,n-Propyl acetate,[7997],-134°F
22710,n-Propyl alcohol,[1031],-196°F
22711,Propylene dichloride,[6564],-149°F
22712,Propylene glycol dinitrate,[22933],18°F
22713,Propylene glycol monomethyl ether,[7900],-139°F (Sets to glass)
22714,Propylene imine,[6377],-85°F
22715,Propylene oxide,[6378],-170°F
22716,n-Propyl nitrate,[12307],-148°F
22717,Pyridine,[1049],-44°F
22718,Quinone,[4650],240°F
22719,Resorcinol,[5054],228°F
22720,"Rhodium (metal fume and insoluble compounds, as Rh)",[23948],3571°F
22721,Ronnel,[9298],106°F
22722,Rotenone,[6758],330°F
22723,Selenium,[6326970],392°F
22724,Selenium hexafluoride,[24558],-59°F
22725,"Silica, amorphous",[24261],3110°F
22726,Silicon,[5461123],2570°F
22727,Silicon carbide,[9863],4892°F (Sublimes)
22728,Silicon tetrahydride,[23953],-301°F
22729,"Silver (metal dust and soluble compounds, as Ag)",[23954],1761°F
22730,Sodium aluminum fluoride (as F),[16693908],1832°F
22731,Sodium azide,[33557],527°F (Decomposes)
22732,Sodium bisulfite,[23665763],Decomposes
22733,Sodium cyanide (as CN),[8929],1047°F
22734,Sodium fluoride (as F),[5235],1819°F
22735,Sodium fluoroacetate,[16212360],392°F
22736,Sodium hydroxide,[14798],605°F
22737,Sodium metabisulfite,[656671],>302°F (Decomposes)
22738,Stibine,[9359],-126°F
22739,Strychnine,[441071],514°F
22740,Styrene,[7501],-23°F
22741,Succinonitrile,[8062],134°F
22742,Sucrose,[5988],320-367°F (Decomposes)
22743,Sulfur dioxide,[1119],-104°F
22744,Sulfur hexafluoride,[17358],-83°F (Sublimes)
22745,Sulfuric acid,[1118],51°F
22746,Sulfur monochloride,[24807],-107°F
22747,Sulfur pentafluoride,[62586],-134°F
22748,Sulfur tetrafluoride,[24555],-185°F
22749,Sulfuryl fluoride,[17607],-212°F
22750,"2,4,5-T",[1480],307°F
22751,Talc (containing no asbestos and less than 1% quartz),[16211421],1652°F to 1832°F
22752,"Tantalum (metal and oxide dust, as Ta)",[23956],5425°F
22753,Tellurium,[6327182],842°F
22754,Tellurium hexafluoride,[24559],-36°F (Sublimes)
22755,Temephos,[5392],87°F
22756,TEPP,[7873],32°F
22757,o-Terphenyl,[6766],136°F
22758,m-Terphenyl,[7076],192°F
22759,p-Terphenyl,[7115],415°F
22760,"2,3,7,8-Tetrachloro-dibenzo-p-dioxin",[15625],581°F
22761,"1,1,1,2-Tetrachloro-2,2-difluoroethane",[6426],105°F
22762,"1,1,2,2-Tetrachloro-1,2-difluoroethane",[6427],77°F
22763,"1,1,1,2-Tetrachloroethane",[12418],-94°F
22764,"1,1,2,2-Tetrachloroethane",[6591],-33°F
22765,Tetrachloroethylene,[31373],-2°F
22766,Tetrachloronaphthalene,[29910],360°F
22767,Tetraethyl lead (as Pb),[6511],-202°F
22768,Tetrahydrofuran,[8028],-163°F
22769,Tetramethyl lead (as Pb),[6394],-15°F
22770,Tetramethyl succinonitrile,[18745],338°F (Sublimes)
22771,Tetranitromethane,[10509],57°F
22772,Tetrasodium pyrophosphate,[24403],1810°F
22773,Tetryl,[10178],268°F
22774,"4,4'-Thiobis(6-tert-butyl-m-cresol)",[7308],302°F
22775,Thioglycolic acid,[1133],2°F
22776,Thionyl chloride,[24386],-156°F
22777,Thiram,[5455],312°F
22778,Tin,[5352426],449°F
22779,Tin(II) oxide (as Sn),[88989],(600 mmHg): 1976°F (Decomposes)
22780,Tin(IV) oxide (as Sn),[29011],2966°F (Decomposes)
22781,Titanium dioxide,[26042],3326-3362°F
22782,o-Tolidine,[8413],264°F
22783,Toluene,[1140],-139°F
22784,Toluenediamine,[7261],210°F
22785,"Toluene-2,4-diisocyanate",[11443],71°F
22786,o-Toluidine,[7242],6°F
22787,m-Toluidine,[7934],-23°F
22788,p-Toluidine,[7813],111°F
22789,Tributyl phosphate,[31357],-112°F
22790,Trichloroacetic acid,[6421],136°F
22791,"1,2,4-Trichlorobenzene",[13],63°F
22792,"1,1,2-Trichloroethane",[6574],-34°F
22793,Trichloroethylene,[6575],-99°F
22794,"1,2,3-Trichloropropane",[7285],6°F
22795,"1,1,2-Trichloro-1,2,2-trifluoroethane",[6428],-31°F
22796,Triethylamine,[8471],-175°F
22797,Trifluorobromomethane,[6384],-267°F
22798,Trimellitic anhydride,[11089],322°F
22799,Trimethylamine,[1146],-179°F
22800,"1,2,3-Trimethylbenzene",[10686],-14°F
22801,"1,2,4-Trimethylbenzene",[7247],-77°F
22802,"1,3,5-Trimethylbenzene",[7947],-49°F
22803,Trimethyl phosphite,[8472],-108°F
22804,"2,4,6-Trinitrotoluene",[8376],176°F
22805,Triorthocresyl phosphate,[6527],52°F
22806,Triphenylamine,[11775],261°F
22807,Triphenyl phosphate,[8289],120°F
22808,Tungsten,[23964],6170°F
22809,1-Undecanethiol,[62570],27°F
22810,"Uranium (insoluble compounds, as U)",[23989],2097°F
22811,n-Valeraldehyde,[8063],-133°F
22812,Vanadium fume,[14814],1274°F
22813,Vinyl acetate,[7904],-136°F
22814,Vinyl bromide,[11641],-219°F
22815,Vinyl chloride,[6338],-256°F
